Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","AIA","Anguilla","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","376.733333","X","Figure from international organizations",""
"MK","Macro Indicators","AIA","Anguilla","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","258.440741","X","Figure from international organizations",""
"MK","Macro Indicators","AIA","Anguilla","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","300.977778","X","Figure from international organizations",""
"MK","Macro Indicators","AIA","Anguilla","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","452.896296","X","Figure from international organizations",""
"MK","Macro Indicators","AIA","Anguilla","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","470.399984","E","Estimated value",""
"MK","Macro Indicators","ATG","Antigua and Barbuda","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","1675.403704","X","Figure from international organizations",""
"MK","Macro Indicators","ATG","Antigua and Barbuda","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","1418.062963","X","Figure from international organizations",""
"MK","Macro Indicators","ATG","Antigua and Barbuda","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","1560.518519","X","Figure from international organizations",""
"MK","Macro Indicators","ATG","Antigua and Barbuda","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","1770.248148","X","Figure from international organizations",""
"MK","Macro Indicators","ATG","Antigua and Barbuda","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","1962.005543","E","Estimated value",""
"MK","Macro Indicators","ARG","Argentina","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","447754.686715","X","Figure from international organizations",""
"MK","Macro Indicators","ARG","Argentina","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","385740.51026","X","Figure from international organizations",""
